PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE,PERIHELION DISTANCE,ORBIT UPDATES,Auto/Vis. Disc.
2005-09-06.93,C/2005 R6 SOHO-1014,H.Su,C3,0.0053,,
2005-09-06.48,C/2005 R5 SOHO-1013,H.Su,C3,0.0051,,
2005-08-14.73,C/2005 P6 SOHO-1003,H.Su,C3,0.0050,,
2005-08-13.38,C/2005 P5 SOHO-1002,H.Su,C3,0.0049,,
2005-06-12.49,C/2005 L13 SOHO-978,H.Su,C2,0.0073,,
2005-06-06.53,C/2005 L8 SOHO-973,H.Su,C2,0.0052,,
2005-06-01.97,C/2005 L5 SOHO-970,H.Su,C2,0.0050,,
2005-05-20.95,C/2005 K7 SOHO-964,H.Su,C2,0.0050,,
2005-05-19.09,C/2005 K5 SOHO-962,H.Su,C2,0.0051,,
2005-05-13.12,C/2005 J8 SOHO-956,H.Su,C2,0.0051,,
2005-04-22.70,C/2005 H3 SOHO-944,H.Su,C2 C3,0.0049,,
2005-04-14.53,C/2005 G7 SOHO-940,H.Su,C2,0.0049,,
2005-04-08.54,C/2005 G4 SOHO-936,H.Su,C2,0.0051,,
2005-03-29.14,C/2005 F4 SOHO-933,H.Su,C2 C3,0.0068,,
2005-03-19.32,C/2005 F2 SOHO-926,H.Su,C2 C3,0.0067,,
2005-03-18.17,C/2005 F1 SOHO-925,H.Su,C2 C3,0.0055,,
2005-03-12.64,C/2005 E5 SOHO-916,H.Su,C3,0.0051,,
2005-02-02.74,C/2005 C2 SOHO-906,H.Su,C3,0.0050,,
2004-12-29.34,C/2004 Y11 SOHO-895,H.Su,C2 C3,0.0048,,
2004-12-26.62,C/2004 Y7 SOHO-891,H.Su,C2,0.0049, ,
2004-12-26.31,C/2004 Y6 SOHO-890,H.Su,C2,0.0073, ,
2004-12-19.27,C/2004 Y2 SOHO-885,H.Su,C2,0.0051, ,
2004-10-26.93,C/2004 U10 SOHO-853,H.Su,C2,0.0076, ,
2004-10-10.97,C/2004 T6 SOHO-842,H.Su,C2 C3,0.0049, ,
2004-10-05.64,C/2004 T4 SOHO-840,H.Su,C2 C3,0.0048, ,
2004-10-04.81,C/2004 T8 SOHO-892,H.Su,C2 C3,0.0048, ,
2004-09-29.24,C/2004 S4 SOHO-839,H.Su,C2 C3,0.0049, ,
2004-09-06.32,C/2004 R6 SOHO-835,H.Su,C3,0.0054, ,
2004-09-06.01,C/2004 R4 SOHO-833,H.Su,C2 C3,0.0052, ,
2004-08-09.45,C/2004 P5 SOHO-825,H.Su,C3,0.0061,8398,
2003-04-06.85,C/2003 G5 SOHO-1214,H.Su,C2,0.0051, ,
1998-05-12.58,C/1998 J5 SOHO-1144,H.Su,C2,0.0052, ,V
